INPUT,TIME,RESULT1, RESULT2
20,0.001000000000,4,4
32,0.000000000000,4,4
14,0.001000000000,1,4
45,0.000000000000,1,3
21,0.000000000000,1,4
45,0.000000000000,9,9
49,0.000000000000,1,4
18,0.000000000000,1,4
20,0.000000000000,1,3
2,0.000000000000,1,2
2,0.000000000000,1,1
36,0.000000000000,4,6
48,0.000000000000,1,4
56,0.000000000000,4,6
56,0.000000000000,4,5
7,0.000000000000,1,1
9,0.000000000000,1,4
16,0.000000000000,4,6
90,0.000000000000,4,6
20,0.000000000000,1,3
20,0.000000000000,4,4
8,0.000000000000,1,4
7,0.000000000000,1,2
6,0.000000000000,1,2
36,0.000000000000,4,6
45,0.000000000000,1,4
40,0.000000000000,4,4
36,0.000000000000,4,4
48,0.000000000000,4,6
72,0.000000000000,4,5
80,0.000000000000,4,6
36,0.000000000000,4,5
48,0.000000000000,1,4
6,0.000000000000,1,1
8,0.000000000000,1,3
27,0.000000000000,4,4
24,0.000000000000,4,4
8,0.000000000000,1,2
60,0.000000000000,4,4
100,0.000000000000,4,6
14,0.000000000000,1,2
7,0.000000000000,1,1
100,0.001000000000,4,4
100,0.000000000000,4,12
40,0.000000000000,4,5
35,0.000000000000,1,3
4,0.000000000000,1,1
30,0.000000000000,4,4
60,0.000000000000,4,6
8,0.000000000000,1,2
56,0.000000000000,4,8
1,0.000000000000,0,0
40,0.000000000000,4,6
20,0.000000000000,4,5
25,0.000000000000,1,3
56,0.000000000000,9,9
9,0.000000000000,1,2
30,0.001000000000,1,5
10,0.000000000000,1,4
20,0.000000000000,1,2
16,0.000000000000,1,3
10,0.000000000000,1,1
24,0.000000000000,1,3
21,0.000000000000,1,2
40,0.000000000000,4,8
10,0.000000000000,1,3
36,0.000000000000,4,4
3,0.000000000000,1,1
60,0.000000000000,4,8
42,0.000000000000,1,4
9,0.000000000000,1,3
12,0.000000000000,1,2
35,0.000000000000,1,5
21,0.000000000000,1,3
24,0.000000000000,4,4
56,0.000000000000,4,8
3,0.000000000000,1,1
20,0.000000000000,1,3
30,0.000000000000,1,3
40,0.000000000000,4,5
80,0.000000000000,4,6
54,0.000000000000,1,3
9,0.000000000000,1,7
63,0.000000000000,4,8
36,0.000000000000,4,4
35,0.000000000000,4,5
28,0.000000000000,4,6
35,0.000000000000,4,8
6,0.000000000000,1,0
21,0.000000000000,1,3
24,0.000000000000,4,4
48,0.000000000000,4,6
1,0.000000000000,0,0
10,0.000000000000,1,2
10,0.000000000000,1,3
12,0.000000000000,1,2
56,0.000000000000,1,6
70,0.000000000000,9,9
10,0.000000000000,1,2
14,0.000000000000,4,4
9120,0.006000000000,16,16
270,0.000000000000,4,6
2496,0.003000000000,9,16
752,0.001000000000,4,10
4437,0.002000000000,9,15
7448,0.004000000000,9,15
2196,0.001000000000,9,11
430,0.000000000000,4,8
4565,0.002000000000,9,14
3100,0.002000000000,9,15
1960,0.001000000000,9,10
288,0.001000000000,9,12
539,0.000000000000,9,11
979,0.001000000000,4,8
6970,0.003000000000,9,15
1944,0.001000000000,9,12
500,0.000000000000,4,10
1720,0.001000000000,9,12
760,0.001000000000,9,14
1960,0.002000000000,4,13
2904,0.001000000000,9,15
3150,0.002000000000,9,14
520,0.000000000000,9,9
520,0.000000000000,9,11
776,0.001000000000,9,12
385,0.000000000000,4,8
1560,0.003000000000,16,16
1395,0.001000000000,9,12
485,0.001000000000,4,8
1711,0.001000000000,9,10
6650,0.004000000000,9,12
4914,0.003000000000,16,16
133,0.000000000000,4,8
999,0.000000000000,4,11
120,0.000000000000,4,10
4356,0.002000000000,9,15
2790,0.001000000000,9,17
648,0.000000000000,9,12
44,0.000000000000,1,6
196,0.000000000000,4,8
5073,0.003000000000,16,16
4757,0.002000000000,9,14
1242,0.000000000000,9,10
9216,0.005000000000,9,15
54,0.000000000000,4,6
1692,0.001000000000,9,13
2450,0.001000000000,9,12
4876,0.003000000000,9,14
54,0.000000000000,1,5
1496,0.001000000000,9,12
2800,0.001000000000,9,13
747,0.001000000000,9,9
2538,0.001000000000,16,16
1702,0.000000000000,9,11
930,0.000000000000,9,12
2345,0.001000000000,9,15
1292,0.001000000000,4,10
1178,0.001000000000,9,12
1350,0.001000000000,9,14
988,0.001000000000,9,10
190,0.000000000000,4,8
1891,0.001000000000,9,10
280,0.000000000000,4,8
1092,0.001000000000,9,13
5525,0.002000000000,9,12
931,0.000000000000,4,10
2601,0.000000000000,9,11
1403,0.000000000000,16,16
1776,0.001000000000,9,12
2652,0.000000000000,9,14
180,0.000000000000,4,7
1924,0.000000000000,9,12
1776,0.000000000000,9,14
4914,0.000000000000,9,15
3696,0.001000000000,9,12
2912,0.002000000000,9,18
754,0.000000000000,4,9
3570,0.001000000000,9,12
2430,0.000000000000,9,13
6100,0.000000000000,9,12
2952,0.000000000000,9,14
2992,0.001000000000,9,12
7140,0.001000000000,9,15
1100,0.000000000000,4,10
4230,0.000000000000,9,12
1232,0.000000000000,9,10
4352,0.000000000000,9,12
2660,0.000000000000,9,10
208,0.000000000000,4,8
3871,0.001000000000,9,12
5022,0.000000000000,9,13
392,0.000000000000,4,10
42,0.000000000000,1,7
4410,0.000000000000,9,14
117,0.000000000000,4,6
9118,0.001000000000,9,16
5688,0.001000000000,9,15
8100,0.000000000000,9,12
3825,0.000000000000,9,14
2728,0.000000000000,9,15
