date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:59:45	133/133	---M-Z	200	added ('OK')	text/plain	etag:%223b960abc-bc-514e64e0c0f00%22	http://hci.stanford.edu/robots.txt		(from )
01:59:45	54974/54974	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jul%202015%2006:59:45%20GMT	http://hci.stanford.edu/msb/	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/index.html	(from )
01:59:46	137067/137067	---M-Z	200	added ('OK')	text/css	etag:%222dda0046-2176b-50be066b0dcc0%22	http://hci.stanford.edu/msb/css/bootstrap.css	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/css/bootstrap.css	(from http://hci.stanford.edu/msb/)
01:59:47	2795/2795	---M-Z	200	added ('OK')	text/css	etag:%222dda0048-aeb-511e9f7ae4a00%22	http://hci.stanford.edu/msb/css/msb.css	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/css/msb.css	(from http://hci.stanford.edu/msb/)
01:59:47	54974/54974	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jul%202015%2006:59:47%20GMT	http://hci.stanford.edu/msb/.	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/.html	(from http://hci.stanford.edu/msb/)
01:59:47	10892/10892	---M-Z	200	added ('OK')	text/html	date:Mon,%2006%20Jul%202015%2006:59:47%20GMT	http://hci.stanford.edu/msb/faq/	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/faq/index.html	(from http://hci.stanford.edu/msb/)
01:59:48	55380/55380	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Jul%202015%2006:59:47%20GMT	http://hci.stanford.edu/msb/publications/	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/publications/index.html	(from http://hci.stanford.edu/msb/)
01:59:49	5447/5447	---M-Z	200	added ('OK')	application/javascript	etag:%222dda0798-1547-50be01cf5bd80%22	http://hci.stanford.edu/msb/js/msb.js	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/js/msb.js	(from http://hci.stanford.edu/msb/)
01:59:50	20335/20335	---M--	200	added ('OK')	text/html	etag:%222dda07ee-4f6f-507fd2ab24600%22	http://hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.eot	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.html	(from http://hci.stanford.edu/msb/css/bootstrap.css)
01:59:51	20335/20335	---M--	200	added ('OK')	text/html	etag:%222dda07ee-4f6f-507fd2ab24600%22	http://hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.eot?	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/fonts/glyphicons-halflings-regulard41d.html	(from http://hci.stanford.edu/msb/css/bootstrap.css)
01:59:52	23320/23320	---M--	200	added ('OK')	text/html	etag:%222dda07f4-5b18-507fd2ab24600%22	http://hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.woff	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/fonts/glyphicons-halflings-regular-2.html	(from http://hci.stanford.edu/msb/css/bootstrap.css)
01:59:53	41280/41280	---M--	200	added ('OK')	text/html	etag:%222dda07f2-a140-507fd2ab24600%22	http://hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.ttf	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/fonts/glyphicons-halflings-regular-3.html	(from http://hci.stanford.edu/msb/css/bootstrap.css)
01:59:54	62926/62926	---M--	200	added ('OK')	image/svg+xml	etag:%222dda07f0-f5ce-507fd2ab24600%22	http://hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.svg	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/fonts/glyphicons-halflings-regular.svg	(from http://hci.stanford.edu/msb/css/bootstrap.css)
01:59:55	67155/67155	---M-Z	200	added ('OK')	application/javascript	etag:%222dda008a-10653-50be0680fd080%22	http://hci.stanford.edu/msb/js/bootstrap.js	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/js/bootstrap.js	(from http://hci.stanford.edu/msb/)
02:00:10	199863/199863	---M--	200	added ('OK')	application/pdf	etag:%222dda0058-30cb7-5191e8e8ef4c0%22	http://hci.stanford.edu/msb/files/msb-cv.pdf	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/files/msb-cv.pdf	(from http://hci.stanford.edu/msb/)
02:00:12	259111/259111	---M--	200	added ('OK')	image/jpeg	etag:%222dda0076-3f427-4f1b5a7a7a8c0%22	http://hci.stanford.edu/msb/img/msb-hoover.jpg	/Users/scvalencia606/websites/exercise1/hci.stanford.edu/msb/img/msb-hoover.jpg	(from http://hci.stanford.edu/msb/)
